"","Generation","strategy","zy","ratio","fit_media","fit_sd"
"85",0,"fit_Y",21,2.625,0,0
"86",0,"fit_Y",22,2.75,0,0
"87",0,"fit_Y",23,2.875,0,0
"88",0,"fit_Y",24,3,0,0
"89",0,"fit_Y",25,3.125,0,0
"90",0,"fit_Y",26,3.25,0,0
"91",0,"fit_Y",27,3.375,0,0
"92",0,"fit_Y",28,3.5,0,0
"93",0,"fit_Y",29,3.625,0,0
"94",0,"fit_Y",30,3.75,0,0
"95",0,"fit_Y",31,3.875,0,0
"96",0,"fit_Y",32,4,0,0
"97",0,"fit_total",1,0.125,0,0
"98",0,"fit_total",2,0.25,0,0
"99",0,"fit_total",3,0.375,0,0
"100",0,"fit_total",4,0.5,0,0
"101",0,"fit_total",5,0.625,0,0
"102",0,"fit_total",6,0.75,0,0
"103",0,"fit_total",7,0.875,0,0
"104",0,"fit_total",8,1,0,0
"105",0,"fit_total",9,1.125,0,0
"106",0,"fit_total",10,1.25,0,0
"107",0,"fit_total",11,1.375,0,0
"108",0,"fit_total",12,1.5,0,0
"109",0,"fit_total",13,1.625,0,0
"110",0,"fit_total",14,1.75,0,0
"111",0,"fit_total",15,1.875,0,0
"112",0,"fit_total",16,2,0,0
"113",0,"fit_total",17,2.125,0,0
"114",0,"fit_total",18,2.25,0,0
"115",0,"fit_total",19,2.375,0,0
"116",0,"fit_total",20,2.5,0,0
"117",0,"fit_total",21,2.625,0,0
"118",0,"fit_total",22,2.75,0,0
"119",0,"fit_total",23,2.875,0,0
"120",0,"fit_total",24,3,0,0
"121",0,"fit_total",25,3.125,0,0
"122",0,"fit_total",26,3.25,0,0
"123",0,"fit_total",27,3.375,0,0
"124",0,"fit_total",28,3.5,0,0
"125",0,"fit_total",29,3.625,0,0
"126",0,"fit_total",30,3.75,0,0
"127",0,"fit_total",31,3.875,0,0
"128",0,"fit_total",32,4,0,0
"129",1,"fit_B",1,0.125,5.49675453993085,0.0483141195826736
"130",1,"fit_B",2,0.25,5.77132203726186,0.0494909211641964
"131",1,"fit_B",3,0.375,5.80527655292205,0.0566996730829607
"132",1,"fit_B",4,0.5,5.84807664537788,0.0570883260262986
"133",1,"fit_B",5,0.625,6.85437859893555,0.0538703389126044
"134",1,"fit_B",6,0.75,7.88165535022497,0.0563729356458992
"135",1,"fit_B",7,0.875,8.49611212784165,0.0414811585528441
"136",1,"fit_B",8,1,8.9848839112018,0.0316247725200097
"137",1,"fit_B",9,1.125,10.0101076286745,0.0383538177768559
"138",1,"fit_B",10,1.25,10.9779174823499,0.0516029241180095
"139",1,"fit_B",11,1.375,11.6257736880761,0.0587559301746891
"140",1,"fit_B",12,1.5,12.2716641519968,0.0566553155669753
"141",1,"fit_B",13,1.625,13.2124486881997,0.077779147363176
"142",1,"fit_B",14,1.75,14.0873389985498,0.109174178862805
"143",1,"fit_B",15,1.875,14.8785247768161,0.140212403089127
"144",1,"fit_B",16,2,15.5323503625289,0.17983912498751
"145",1,"fit_B",17,2.125,16.1782897504338,0.191216730749786
"146",1,"fit_B",18,2.25,16.8028745959626,0.189284910833149
"147",1,"fit_B",19,2.375,17.4320513524063,0.207684757853057
"148",1,"fit_B",20,2.5,18.0433654747368,0.21165477726474
"149",1,"fit_B",21,2.625,18.5402360526303,0.270204029180173
"150",1,"fit_B",22,2.75,18.894631107676,0.317812845596689
"151",1,"fit_B",23,2.875,19.5085381580466,0.334209937707245
"152",1,"fit_B",24,3,20.0316402900961,0.370315727622807
"153",1,"fit_B",25,3.125,20.3105829185712,0.427229319076816
"154",1,"fit_B",26,3.25,20.5060628084068,0.479149835615569
"155",1,"fit_B",27,3.375,21.1513482840005,0.499592112798908
"156",1,"fit_B",28,3.5,21.7957632052101,0.509580283159199
"157",1,"fit_B",29,3.625,21.9967385403998,0.536502244017146
"158",1,"fit_B",30,3.75,22.219270451128,0.581202972924253
"159",1,"fit_B",31,3.875,22.4499592309212,0.591326041493179
"160",1,"fit_B",32,4,22.6957820296676,0.569930245997968
"161",1,"fit_O",1,0.125,7.19447831198186,0.027288793255107
"162",1,"fit_O",2,0.25,7.22720051542316,0.0246199637403022
"163",1,"fit_O",3,0.375,7.20554521520156,0.0258349526763057
"164",1,"fit_O",4,0.5,7.19054647070258,0.0255455975988159
"165",1,"fit_O",5,0.625,7.58508096914667,0.0262649349884652
"166",1,"fit_O",6,0.75,7.96735634225164,0.0264603389339154
"167",1,"fit_O",7,0.875,8.27509352997907,0.0243538723054644
"168",1,"fit_O",8,1,8.55912463037546,0.0252943219921483
"169",1,"fit_O",9,1.125,8.90710832038588,0.038241361184507
"170",1,"fit_O",10,1.25,9.16123083437835,0.0565027169236772
"171",1,"fit_O",11,1.375,9.45049743245238,0.0646826701348453
"172",1,"fit_O",12,1.5,9.70654516467758,0.0845848484929896
"173",1,"fit_O",13,1.625,9.85284020891844,0.0963905886412769
"174",1,"fit_O",14,1.75,10.0470123703379,0.0970831866725336
"175",1,"fit_O",15,1.875,10.2748039965419,0.104215176564781
"176",1,"fit_O",16,2,10.5474758515223,0.116351740362
"177",1,"fit_O",17,2.125,10.8395498689815,0.130464334461406
"178",1,"fit_O",18,2.25,11.135499570139,0.136640709573866
"179",1,"fit_O",19,2.375,11.4066712005105,0.151947612555926
"180",1,"fit_O",20,2.5,11.6638433177742,0.173663084565561
"181",1,"fit_O",21,2.625,11.9046918306175,0.176178364070212
"182",1,"fit_O",22,2.75,12.1382841818074,0.209976879335121
"183",1,"fit_O",23,2.875,12.3537915896025,0.235420689108934
"184",1,"fit_O",24,3,12.4100207826802,0.242632122390875
"185",1,"fit_O",25,3.125,12.6059583216778,0.271623876528314
"186",1,"fit_O",26,3.25,12.7878013394786,0.290254329633713
"187",1,"fit_O",27,3.375,12.9793692614953,0.31841473301657
"188",1,"fit_O",28,3.5,13.1666302994089,0.321244540076823
"189",1,"fit_O",29,3.625,13.2804152314529,0.358310106137425
"190",1,"fit_O",30,3.75,13.3786010246002,0.442151994089189
"191",1,"fit_O",31,3.875,13.4776248597554,0.540109142713142
"192",1,"fit_O",32,4,13.5721404497317,0.602653323023339
"193",1,"fit_Y",1,0.125,7.50143019935129,0.0509224670880347
"194",1,"fit_Y",2,0.25,7.88732605856034,0.0382163717228977
"195",1,"fit_Y",3,0.375,7.91967900849925,0.0363374159113157
"196",1,"fit_Y",4,0.5,7.92879955954054,0.0379116278417164
"197",1,"fit_Y",5,0.625,8.38837820084763,0.0263354051340857
"198",1,"fit_Y",6,0.75,8.79878994524342,0.0194656158477481
"199",1,"fit_Y",7,0.875,8.97877989789654,0.0176832570159032
"200",1,"fit_Y",8,1,9.13322524134015,0.0185009018914009
"201",1,"fit_Y",9,1.125,9.85816243545371,0.0173029721875646
"202",1,"fit_Y",10,1.25,10.5919909039054,0.0247710702655132
"203",1,"fit_Y",11,1.375,11.0713621996167,0.0297906525686352
"204",1,"fit_Y",12,1.5,11.5513097113782,0.0328864047240323
"205",1,"fit_Y",13,1.625,12.3261518195029,0.038622795812031
"206",1,"fit_Y",14,1.75,13.1240356422072,0.0449310570191174
"207",1,"fit_Y",15,1.875,13.9315962303419,0.0531311304758486
"208",1,"fit_Y",16,2,14.7474737433575,0.0616591814122945
"209",1,"fit_Y",17,2.125,15.2693216248737,0.0638963434580822
"210",1,"fit_Y",18,2.25,15.7906343248943,0.0693136945642816
"211",1,"fit_Y",19,2.375,16.3106950442917,0.0697997616520687
"212",1,"fit_Y",20,2.5,16.831810386623,0.0728857920373148
"213",1,"fit_Y",21,2.625,17.67354390111,0.0784944744723726
"214",1,"fit_Y",22,2.75,18.5112781844188,0.0883623831740641
"215",1,"fit_Y",23,2.875,19.0408616608254,0.0915745833936723
"216",1,"fit_Y",24,3,19.5717477864639,0.0988924205683507
"217",1,"fit_Y",25,3.125,20.4110984962304,0.107322925341774
"218",1,"fit_Y",26,3.25,21.2452091612187,0.114795263852244
"219",1,"fit_Y",27,3.375,21.7805757458508,0.117603157211694
"220",1,"fit_Y",28,3.5,22.3174836048936,0.123422811085017
"221",1,"fit_Y",29,3.625,23.1473395185514,0.130696920566897
"222",1,"fit_Y",30,3.75,23.9686059010669,0.135803359011593
"223",1,"fit_Y",31,3.875,24.7849968883036,0.145190967333672
"224",1,"fit_Y",32,4,25.5987081811015,0.155199330275478
"225",1,"fit_total",1,0.125,7.1157335,0.0292397897702443
"226",1,"fit_total",2,0.25,7.3378855,0.0263859459980521
"227",1,"fit_total",3,0.375,7.3378855,0.0263859459980521
"228",1,"fit_total",4,0.5,7.3378855,0.0263859459980521
"229",1,"fit_total",5,0.625,7.835893,0.0217796552968243
"230",1,"fit_total",6,0.75,8.334972,0.0181766893675289
"231",1,"fit_total",7,0.875,8.612517,0.0158794817423
"232",1,"fit_total",8,1,8.8895445,0.0143931817735224
"233",1,"fit_total",9,1.125,9.666296,0.0193197100381863
"234",1,"fit_total",10,1.25,10.4431235,0.026722399576786
"235",1,"fit_total",11,1.375,10.998061,0.0306620414660975
"236",1,"fit_total",12,1.5,11.5526185,0.0349413720040477
"237",1,"fit_total",13,1.625,12.329451,0.0433972116476148
"238",1,"fit_total",14,1.75,13.1062725,0.0522174128117965
"239",1,"fit_total",15,1.875,13.883178,0.0611191791221516
"240",1,"fit_total",16,2,14.6602005,0.0701931089940639
"241",1,"fit_total",17,2.125,15.216113,0.0739966224386169
"242",1,"fit_total",18,2.25,15.7714405,0.0775152688429053
"243",1,"fit_total",19,2.375,16.326348,0.0812770967776658
"244",1,"fit_total",20,2.5,16.8813105,0.0842824203409903
"245",1,"fit_total",21,2.625,17.658285,0.0933308071898399
"246",1,"fit_total",22,2.75,18.4350155,0.102642664622259
"247",1,"fit_total",23,2.875,18.989468,0.107232784053001
"248",1,"fit_total",24,3,19.5448285,0.110408004178212
"249",1,"fit_total",25,3.125,20.321803,0.119509941647234
"250",1,"fit_total",26,3.25,21.0985335,0.128873745877565
"251",1,"fit_total",27,3.375,21.652986,0.133483650131862
"252",1,"fit_total",28,3.5,22.2086585,0.13690451661448
"253",1,"fit_total",29,3.625,22.9853425,0.146048375715865
"254",1,"fit_total",30,3.75,23.7623155,0.15506043766232
"255",1,"fit_total",31,3.875,24.5391565,0.164332682194143
"256",1,"fit_total",32,4,25.315965,0.173506434180465
"257",2,"fit_B",1,0.125,5.15491105017084,0.126173161549204
"258",2,"fit_B",2,0.25,5.5288999140398,0.112579198653868
"259",2,"fit_B",3,0.375,5.45869627662816,0.128859077547375
"260",2,"fit_B",4,0.5,5.39527612886608,0.13227046665446
"261",2,"fit_B",5,0.625,6.3434914917155,0.117542589339756
"262",2,"fit_B",6,0.75,7.44238891870357,0.106613686397966
"263",2,"fit_B",7,0.875,7.46295143894166,0.0916412499663238
"264",2,"fit_B",8,1,7.48510472315957,0.0922693067926555
"265",2,"fit_B",9,1.125,9.03021199438612,0.103982703836296
"266",2,"fit_B",10,1.25,10.8144220661858,0.112102156455777
"267",2,"fit_B",11,1.375,11.2430318040106,0.101410170898591
"268",2,"fit_B",12,1.5,11.6300787294589,0.100650747096101
"269",2,"fit_B",13,1.625,13.456058080657,0.108515178405642
"270",2,"fit_B",14,1.75,15.3827757101381,0.110499449848271
"271",2,"fit_B",15,1.875,17.3587807418071,0.105636360493444
"272",2,"fit_B",16,2,19.3668127135203,0.0953523387457707
"273",2,"fit_B",17,2.125,19.6144985287975,0.100088838622713
"274",2,"fit_B",18,2.25,19.8561301623048,0.109382702994146
"275",2,"fit_B",19,2.375,20.1207627072422,0.113840611214328
"276",2,"fit_B",20,2.5,20.3704189789109,0.121418934630579
"277",2,"fit_B",21,2.625,22.2782571281179,0.113999249538686
"278",2,"fit_B",22,2.75,24.1833729378193,0.100133020494433
"279",2,"fit_B",23,2.875,24.4192639540948,0.0987603481130047
"280",2,"fit_B",24,3,24.6626993348221,0.103416034359907
"281",2,"fit_B",25,3.125,26.5318001277445,0.0928468283838772
"282",2,"fit_B",26,3.25,28.4075116815011,0.0822957481913935
"283",2,"fit_B",27,3.375,28.6212797476163,0.0919442586661368
"284",2,"fit_B",28,3.5,28.8467916625776,0.0891869696760185
"285",2,"fit_B",29,3.625,30.7119040860801,0.0810833714745246
"286",2,"fit_B",30,3.75,32.5707659926845,0.0704966745212943
"287",2,"fit_B",31,3.875,34.4380026930879,0.0623128630121091
"288",2,"fit_B",32,4,36.3072711836282,0.0562088593523173
"289",2,"fit_O",1,0.125,7.25354210220125,0.0458752130351691
"290",2,"fit_O",2,0.25,7.48488557938725,0.0457961747329475
"291",2,"fit_O",3,0.375,7.59919412805595,0.0395186034367331
"292",2,"fit_O",4,0.5,7.67748229216675,0.0377363341883232
"293",2,"fit_O",5,0.625,7.80281143755052,0.0302753354057354
"294",2,"fit_O",6,0.75,7.87922413240454,0.0336612936991235
"295",2,"fit_O",7,0.875,7.94730534550115,0.0288513825009364
"296",2,"fit_O",8,1,8.00949418063895,0.0281975511564956
"297",2,"fit_O",9,1.125,8.14325663731204,0.0636359152303495
"298",2,"fit_O",10,1.25,8.37081462987567,0.118883129449546
"299",2,"fit_O",11,1.375,8.58586587577583,0.14700378080927
"300",2,"fit_O",12,1.5,8.80030966677178,0.237989608893184
"301",2,"fit_O",13,1.625,8.95358140864813,0.454773435932398
"302",2,"fit_O",14,1.75,8.97225359940627,1.65687564904104
"303",2,"fit_O",15,1.875,8.22445833333333,3.81156950591416
"304",2,"fit_O",16,2,5.06,5.2416787776942
"305",2,"fit_O",17,2.125,4.08725,5.18931192646983
"306",2,"fit_O",18,2.25,3.68625,5.33100964412536
"307",2,"fit_O",19,2.375,2.7685,4.85089627769649
"308",2,"fit_O",20,2.5,2.6975,4.8498014902622
"309",2,"fit_O",21,2.625,2.145,4.61581876033742
"310",2,"fit_O",22,2.75,1.55166666666667,4.04261079256982
"311",2,"fit_O",23,2.875,1.3125,3.75586662315225
"312",2,"fit_O",24,3,1.1425,3.65705610340262
"313",2,"fit_O",25,3.125,0.895,3.28394856564749
"314",2,"fit_O",26,3.25,0.6325,2.77398971508438
"315",2,"fit_O",27,3.375,0.65,2.85021707484489
"316",2,"fit_O",28,3.5,0.67,2.93809874620038
"317",2,"fit_O",29,3.625,0.695,3.04751513283338
"318",2,"fit_O",30,3.75,0.5725,2.82134160185247
"319",2,"fit_O",31,3.875,0.1375,1.375
"320",2,"fit_O",32,4,0.1425,1.425
"321",2,"fit_Y",1,0.125,7.48879987770457,0.0722319102320556
"322",2,"fit_Y",2,0.25,7.71138360635692,0.0586785218398382
"323",2,"fit_Y",3,0.375,7.72164382268801,0.0575795849468808
"324",2,"fit_Y",4,0.5,7.6897148325965,0.0572393832626685
"325",2,"fit_Y",5,0.625,8.03236516796222,0.0386178279134139
"326",2,"fit_Y",6,0.75,8.58600040018946,0.0170168196964903
"327",2,"fit_Y",7,0.875,8.5998838654913,0.0161491597086187
"328",2,"fit_Y",8,1,8.64749720736576,0.0163843750939653
"329",2,"fit_Y",9,1.125,9.79553070845749,0.0214368262069612
"330",2,"fit_Y",10,1.25,11.2592609151875,0.0375874313580658
"331",2,"fit_Y",11,1.375,11.6686335565185,0.0369824318654968
"332",2,"fit_Y",12,1.5,12.0256912734942,0.0358447401270502
"333",2,"fit_Y",13,1.625,13.7247000639412,0.0471269717212427
"334",2,"fit_Y",14,1.75,15.5374092944019,0.0535903473983243
"335",2,"fit_Y",15,1.875,17.4018991207184,0.0608978549914396
"336",2,"fit_Y",16,2,19.290531259733,0.0692794354965959
"337",2,"fit_Y",17,2.125,19.4624458859692,0.060934462977435
"338",2,"fit_Y",18,2.25,19.6176050744172,0.0578375413062295
"339",2,"fit_Y",19,2.375,19.7489089599403,0.0607372433410758
"340",2,"fit_Y",20,2.5,19.8697919920186,0.0608756283505705
"341",2,"fit_Y",21,2.625,21.7390271597583,0.0669123475776863
"342",2,"fit_Y",22,2.75,23.6417188622529,0.0792679668780417
"343",2,"fit_Y",23,2.875,23.7612585245638,0.0688974558699276
"344",2,"fit_Y",24,3,23.8698171643891,0.0646936890624456
"345",2,"fit_Y",25,3.125,25.8024441083418,0.0696025720922261
"346",2,"fit_Y",26,3.25,27.7429291111623,0.069592233739809
"347",2,"fit_Y",27,3.375,27.8413228772378,0.0613253423177046
"348",2,"fit_Y",28,3.5,27.9347804530631,0.0513532254743615
"349",2,"fit_Y",29,3.625,29.8842768179038,0.0512149232720771
"350",2,"fit_Y",30,3.75,31.8333237870425,0.0540396981684801
"351",2,"fit_Y",31,3.875,33.7920610511014,0.0496776992961
"352",2,"fit_Y",32,4,35.7484065792833,0.047407200870274
"353",2,"fit_total",1,0.125,7.3830665,0.0614683671028679
"354",2,"fit_total",2,0.25,7.6224215,0.0505482928679959
"355",2,"fit_total",3,0.375,7.6602655,0.0493580689907431
"356",2,"fit_total",4,0.5,7.6598695,0.0489623494265097
"357",2,"fit_total",5,0.625,7.927864,0.0339444168956228
"358",2,"fit_total",6,0.75,8.377357,0.0229172490504511
"359",2,"fit_total",7,0.875,8.284775,0.027819120395799
"360",2,"fit_total",8,1,8.19246,0.0363730003095036
"361",2,"fit_total",9,1.125,9.3631715,0.0534943904616043
"362",2,"fit_total",10,1.25,10.9745925,0.0666946533585427
"363",2,"fit_total",11,1.375,11.3758085,0.0707495126352919
"364",2,"fit_total",12,1.5,11.7326265,0.0748844343493913
"365",2,"fit_total",13,1.625,13.537572,0.0816117948991851
"366",2,"fit_total",14,1.75,15.434419,0.0830317077015666
"367",2,"fit_total",15,1.875,17.372672,0.0803905210503543
"368",2,"fit_total",16,2,19.3375845,0.0749631133854133
"369",2,"fit_total",17,2.125,19.566288,0.0768444713940984
"370",2,"fit_total",18,2.25,19.7925925,0.08399350725719
"371",2,"fit_total",19,2.375,20.036344,0.0898643257046056
"372",2,"fit_total",20,2.5,20.2725585,0.099049836720173
"373",2,"fit_total",21,2.625,22.172844,0.0929297419200834
"374",2,"fit_total",22,2.75,24.077832,0.0808112530042766
"375",2,"fit_total",23,2.875,24.306468,0.0804174297404524
"376",2,"fit_total",24,3,24.5496725,0.0888897255129504
"377",2,"fit_total",25,3.125,26.425633,0.0794235129231296
"378",2,"fit_total",26,3.25,28.309755,0.0708835499358993
"379",2,"fit_total",27,3.375,28.5174325,0.0796099387147842
"380",2,"fit_total",28,3.5,28.735775,0.0783340491585603
"381",2,"fit_total",29,3.625,30.60903,0.0712223003040907
"382",2,"fit_total",30,3.75,32.4781355,0.0622829744295168
"383",2,"fit_total",31,3.875,34.356341,0.0552259323601744
"384",2,"fit_total",32,4,36.237167,0.0495063312041292
"385",3,"fit_B",1,0.125,4.95902325370083,0.129501037813597
"386",3,"fit_B",2,0.25,5.27149327333847,0.0866081596778844
"387",3,"fit_B",3,0.375,5.08686744466411,0.112992583083485
"388",3,"fit_B",4,0.5,4.8992721005658,0.112099041564963
"389",3,"fit_B",5,0.625,6.21764994104794,0.0673197002217473
"390",3,"fit_B",6,0.75,7.48151617473773,0.0716719909923453
"391",3,"fit_B",7,0.875,7.41631121602682,0.0845984580483901
"392",3,"fit_B",8,1,7.25684577190437,0.0961172037983895
"393",3,"fit_B",9,1.125,8.17530252274195,0.110520488184348
"394",3,"fit_B",10,1.25,9.03920462821317,0.119149111628826
"395",3,"fit_B",11,1.375,8.75475245602798,0.141914211925145
"396",3,"fit_B",12,1.5,8.43942713406024,0.161455241012806
"397",3,"fit_B",13,1.625,9.15455585313692,0.18168908731674
"398",3,"fit_B",14,1.75,9.92966630889376,0.190729778726182
"399",3,"fit_B",15,1.875,10.6747525424326,0.236067278163529
"400",3,"fit_B",16,2,11.3192773473421,0.281806473937691
"401",3,"fit_B",17,2.125,10.8459570909634,0.305058712686297
"402",3,"fit_B",18,2.25,10.3727693724822,0.300377815484683
"403",3,"fit_B",19,2.375,9.94590139537296,0.307226013735892
"404",3,"fit_B",20,2.5,9.51115410992441,0.316862017641862
"405",3,"fit_B",21,2.625,9.95090646557854,0.345343339680665
"406",3,"fit_B",22,2.75,10.3365256907827,0.384113984139835
"407",3,"fit_B",23,2.875,9.96306362262063,0.408054921614715
"408",3,"fit_B",24,3,9.34823739843752,0.419958023517373
"409",3,"fit_B",25,3.125,9.70539398297468,0.456630626544826
"410",3,"fit_B",26,3.25,10.0096280163327,0.484816396990548
"411",3,"fit_B",27,3.375,9.66241005421383,0.504600943840845
"412",3,"fit_B",28,3.5,9.3820155783974,0.530039283818079
"413",3,"fit_B",29,3.625,9.73450522547783,0.551600858567141
"414",3,"fit_B",30,3.75,10.0110495146549,0.592213838439076
"415",3,"fit_B",31,3.875,10.2616249060784,0.620473036030399
"416",3,"fit_B",32,4,10.4295390575187,0.667600714943017
"417",3,"fit_O",1,0.125,5.90956079182005,0.107996592581724
"418",3,"fit_O",2,0.25,7.18796269955801,0.0930769596946267
"419",3,"fit_O",3,0.375,7.43928372160156,0.08888356869354
"420",3,"fit_O",4,0.5,7.57787040143089,0.0762404470319599
"421",3,"fit_O",5,0.625,7.72109085443221,0.0639355014010645
"422",3,"fit_O",6,0.75,7.77487403662508,0.0633430911591131
"423",3,"fit_O",7,0.875,7.86147686240377,0.0402618163235005
"424",3,"fit_O",8,1,7.92227480647958,0.0318266834772539
"425",3,"fit_O",9,1.125,7.92766883217152,0.0677990146574665
"426",3,"fit_O",10,1.25,8.06724822738147,0.164426214000077
"427",3,"fit_O",11,1.375,8.14177861411972,0.167796102307899
"428",3,"fit_O",12,1.5,8.10107824575703,0.169437120902224
"429",3,"fit_O",13,1.625,8.20544095341243,0.438273997457676
"430",3,"fit_O",14,1.75,7.31028870544722,2.62439442514711
"431",3,"fit_O",15,1.875,4.19091503920916,4.25323334645799
"432",3,"fit_O",16,2,0.932579365079365,2.72964071148667
"433",3,"fit_O",17,2.125,0.40375,1.82443216224843
"434",3,"fit_O",18,2.25,0.495666666666667,2.02821652925971
"435",3,"fit_O",19,2.375,0.147142857142857,1.0530075899723
"436",3,"fit_O",20,2.5,0.085,0.85
"437",3,"fit_O",21,2.625,0.06,0.6
"438",3,"fit_O",22,2.75,0,0
"439",3,"fit_O",23,2.875,0,0
"440",3,"fit_O",24,3,0,0
"441",3,"fit_O",25,3.125,0,0
"442",3,"fit_O",26,3.25,0,0
"443",3,"fit_O",27,3.375,0.0983333333333333,0.983333333333333
"444",3,"fit_O",28,3.5,0.15,1.092906420717
"445",3,"fit_O",29,3.625,0.17,1.20441108455795
"446",3,"fit_O",30,3.75,0.17,1.20441108455795
"447",3,"fit_O",31,3.875,0,0
"448",3,"fit_O",32,4,0,0
"449",3,"fit_Y",1,0.125,4.61006357631484,0.0917509423847545
"450",3,"fit_Y",2,0.25,5.71342615866287,0.0690130925680814
"451",3,"fit_Y",3,0.375,5.85097391761099,0.0746350228030444
"452",3,"fit_Y",4,0.5,5.92988925644746,0.0753908632022513
"453",3,"fit_Y",5,0.625,7.05637208903661,0.0462889901149919
"454",3,"fit_Y",6,0.75,8.29410599459227,0.0185581539792239
"455",3,"fit_Y",7,0.875,8.37714230578834,0.0191137471023084
"456",3,"fit_Y",8,1,8.4943365323243,0.0182517412973283
"457",3,"fit_Y",9,1.125,9.79415468064276,0.0245859870530061
"458",3,"fit_Y",10,1.25,11.1716612190561,0.058081596852099
"459",3,"fit_Y",11,1.375,11.2242924061039,0.0828273208074097
"460",3,"fit_Y",12,1.5,11.4178121347619,0.103226764402585
"461",3,"fit_Y",13,1.625,12.4594876821553,0.218223860461121
"462",3,"fit_Y",14,1.75,13.124329466832,0.284628717271625
"463",3,"fit_Y",15,1.875,14.0137780251557,0.359454302423581
"464",3,"fit_Y",16,2,14.8844852241832,0.387214244817923
"465",3,"fit_Y",17,2.125,13.936585071718,0.539538569972852
"466",3,"fit_Y",18,2.25,12.8164351372273,0.670911296254442
"467",3,"fit_Y",19,2.375,11.7007850858287,0.747639413888678
"468",3,"fit_Y",20,2.5,10.833319016834,0.612597375175512
"469",3,"fit_Y",21,2.625,11.6392333067542,0.654367551858759
"470",3,"fit_Y",22,2.75,12.6543050769565,0.786568909812325
"471",3,"fit_Y",23,2.875,11.9540733221627,0.7452613026232
"472",3,"fit_Y",24,3,11.1086729968121,0.447910827311775
"473",3,"fit_Y",25,3.125,11.867802956339,0.571229419019601
"474",3,"fit_Y",26,3.25,12.6245185498476,0.6235891781109
